Date,GBP_USD
12/1/2003,1.718597
12/2/2003,1.730313
12/3/2003,1.728101
12/4/2003,1.720697
12/5/2003,1.733102
12/8/2003,1.734214
12/9/2003,1.745414
12/10/2003,1.739796
12/11/2003,1.746206
12/12/2003,1.747305
12/15/2003,1.747305
12/16/2003,1.754201
12/17/2003,1.765506
12/18/2003,1.771009
12/19/2003,1.765194
12/22/2003,1.764291
12/23/2003,1.764197
12/24/2003,1.7756
12/25/2003,1.775411
12/26/2003,1.772013
12/29/2003,1.774497
12/30/2003,1.777999
12/31/2003,1.788813
1/1/2004,1.785204
1/2/2004,1.79369
1/5/2004,1.807207
1/6/2004,1.821295
1/7/2004,1.817785
1/8/2004,1.833887
1/9/2004,1.848087
1/12/2004,1.845597
1/13/2004,1.848805
1/14/2004,1.831703
1/15/2004,1.825184
1/16/2004,1.799014
1/19/2004,1.783294
1/20/2004,1.81881
1/21/2004,1.832811
1/22/2004,1.843692
1/23/2004,1.827786
1/26/2004,1.815014
1/27/2004,1.826684
1/28/2004,1.815113
1/29/2004,1.817092
1/30/2004,1.825284
2/2/2004,1.821593
2/3/2004,1.837898
2/4/2004,1.832206
2/5/2004,1.83621
2/6/2004,1.847507
2/9/2004,1.859704
2/10/2004,1.867309
2/11/2004,1.892506
2/12/2004,1.893007
2/13/2004,1.885298
2/16/2004,1.888788
2/17/2004,1.905597
2/18/2004,1.892613
2/19/2004,1.899191
2/20/2004,1.861989
2/23/2004,1.86839
2/24/2004,1.890002
2/25/2004,1.872309
2/26/2004,1.863308
2/27/2004,1.869508
3/1/2004,1.867902
3/2/2004,1.838202
3/3/2004,1.827586
3/4/2004,1.822988
3/5/2004,1.845393
3/8/2004,1.85271
3/9/2004,1.826084
3/10/2004,1.803394
3/11/2004,1.810184
3/12/2004,1.80411
3/15/2004,1.804891
3/16/2004,1.813204
3/17/2004,1.816795
3/18/2004,1.835401
3/19/2004,1.834189
3/22/2004,1.847507
3/23/2004,1.852092
3/24/2004,1.825284
3/25/2004,1.807991
3/26/2004,1.817686
3/29/2004,1.819604
3/30/2004,1.827586
3/31/2004,1.843386
4/1/2004,1.856493
4/2/2004,1.828087
4/5/2004,1.823786
4/6/2004,1.843488
4/7/2004,1.840197
4/8/2004,1.831099
4/9/2004,1.833786
4/12/2004,1.837898
4/13/2004,1.818116
4/14/2004,1.789805
4/15/2004,1.791408
4/16/2004,1.7963
4/19/2004,1.807109
4/20/2004,1.7853
4/21/2004,1.769504
4/22/2004,1.775285
4/23/2004,1.773207
4/26/2004,1.786001
4/27/2004,1.79189
4/28/2004,1.771009
4/29/2004,1.773396
4/30/2004,1.7786
5/3/2004,1.771385
5/4/2004,1.795687
5/5/2004,1.790991
5/6/2004,1.794591
5/7/2004,1.789197
5/10/2004,1.777209
5/11/2004,1.760315
5/12/2004,1.772201
5/13/2004,1.760315
5/14/2004,1.758613
5/17/2004,1.771197
5/18/2004,1.766785
5/19/2004,1.782086
5/20/2004,1.775505
5/21/2004,1.789613
5/24/2004,1.791697
5/25/2004,1.812513
5/26/2004,1.814915
5/27/2004,1.836615
5/28/2004,1.832912
5/31/2004,1.83261
6/1/2004,1.840604
6/2/2004,1.83429
6/3/2004,1.839588
6/4/2004,1.838911
6/7/2004,1.841214
6/8/2004,1.839486
6/9/2004,1.828087
6/10/2004,1.841994
6/11/2004,1.817785
6/14/2004,1.814191
6/15/2004,1.833584
6/16/2004,1.825184
6/17/2004,1.834391
6/18/2004,1.839283
6/21/2004,1.833113
6/22/2004,1.821991
6/23/2004,1.816992
6/24/2004,1.823686
6/25/2004,1.826084
6/28/2004,1.829993
6/29/2004,1.809005
6/30/2004,1.820201
7/1/2004,1.8203
7/2/2004,1.829592
7/5/2004,1.830999
7/6/2004,1.840604
7/7/2004,1.85429
7/8/2004,1.850789
7/9/2004,1.861816
7/12/2004,1.861989
7/13/2004,1.857597
7/14/2004,1.856011
7/15/2004,1.852984
7/16/2004,1.8728
7/19/2004,1.868111
7/20/2004,1.85271
7/21/2004,1.839791
7/22/2004,1.844916
7/23/2004,1.833013
7/26/2004,1.841316
7/27/2004,1.822988
7/28/2004,1.822888
7/29/2004,1.818116
7/30/2004,1.822091
8/2/2004,1.824285
8/3/2004,1.824884
8/4/2004,1.825484
8/5/2004,1.823985
8/6/2004,1.840096
8/9/2004,1.840909
8/10/2004,1.827886
8/11/2004,1.830597
8/12/2004,1.823087
8/13/2004,1.842706
8/16/2004,1.841383
8/17/2004,1.827586
8/18/2004,1.823686
8/19/2004,1.83261
8/20/2004,1.819207
8/23/2004,1.809398
8/24/2004,1.792307
8/25/2004,1.796396
8/26/2004,1.795687
8/27/2004,1.790286
8/30/2004,1.795203
8/31/2004,1.802484
9/1/2004,1.7934
9/2/2004,1.791601
9/3/2004,1.77601
9/6/2004,1.780405
9/7/2004,1.775001
9/8/2004,1.787406
9/9/2004,1.789805
9/10/2004,1.800115
9/13/2004,1.7973
9/14/2004,1.797785
9/15/2004,1.776609
9/16/2004,1.79369
9/17/2004,1.791794
9/20/2004,1.786799
9/21/2004,1.796687
9/22/2004,1.793915
9/23/2004,1.797914
9/24/2004,1.804891
9/27/2004,1.811594
9/28/2004,1.813697
9/29/2004,1.80031
9/30/2004,1.812809
10/1/2004,1.799111
10/4/2004,1.784312
10/5/2004,1.782912
10/6/2004,1.779486
10/7/2004,1.782499
10/8/2004,1.795203
10/11/2004,1.798691
10/12/2004,1.791088
10/13/2004,1.793304
10/14/2004,1.797107
10/15/2004,1.804598
10/18/2004,1.797785
10/19/2004,1.803914
10/20/2004,1.816299
10/21/2004,1.827485
10/22/2004,1.829291
10/25/2004,1.84179
10/26/2004,1.835907
10/27/2004,1.828087
10/28/2004,null
10/29/2004,1.8381
11/1/2004,1.83271
11/2/2004,1.839791
11/3/2004,1.847609
11/4/2004,1.843896
11/5/2004,1.857286
11/8/2004,1.854599
11/9/2004,1.855701
11/10/2004,1.846892
11/11/2004,1.843114
11/12/2004,1.857286
11/15/2004,1.846415
11/16/2004,1.85319
11/17/2004,1.859393
11/18/2004,1.848292
11/19/2004,1.860084
11/22/2004,1.859808
11/23/2004,1.868984
11/24/2004,1.881114
11/25/2004,1.89179
11/26/2004,1.893509
11/29/2004,1.892506
11/30/2004,1.9096
12/1/2004,1.933114
12/2/2004,1.924002
12/3/2004,1.944088
12/6/2004,1.936708
12/7/2004,1.945109
12/8/2004,1.937083
12/9/2004,1.923299
12/10/2004,1.91329
12/13/2004,1.923817
12/14/2004,1.927488
12/15/2004,1.942502
12/16/2004,1.931397
12/17/2004,1.942011
12/20/2004,1.947003
12/21/2004,1.929012
12/22/2004,1.914902
12/23/2004,1.923891
12/24/2004,1.921894
12/27/2004,1.93491
12/28/2004,1.927191
12/29/2004,1.917913
12/30/2004,1.923817
12/31/2004,1.919791
1/3/2005,1.904617
1/4/2005,1.883594
1/5/2005,1.885512
1/6/2005,1.87649
1/7/2005,1.871293
1/10/2005,1.876912
1/11/2005,1.878605
1/12/2005,1.890716
1/13/2005,1.881008
1/14/2005,1.870592
1/17/2005,1.857286
1/18/2005,1.863308
1/19/2005,1.870907
1/20/2005,1.870592
1/21/2005,1.877194
1/24/2005,1.878887
1/25/2005,1.864315
1/26/2005,1.882105
1/27/2005,1.891003
1/28/2005,1.888788
1/31/2005,1.884197
2/1/2005,1.88331
2/2/2005,1.884694
2/3/2005,1.882388
2/4/2005,1.873291
2/7/2005,1.858011
2/8/2005,1.853912
2/9/2005,1.859185
2/10/2005,1.868111
2/11/2005,1.869893
2/14/2005,1.887184
2/15/2005,1.895303
2/16/2005,1.884197
2/17/2005,1.895016
2/18/2005,1.894513
2/21/2005,1.896813
2/22/2005,1.911205
2/23/2005,1.906396
2/24/2005,1.907487
2/25/2005,1.919607
2/28/2005,1.919202
3/1/2005,1.918686
3/2/2005,1.913107
3/3/2005,1.906905
3/4/2005,1.923299
3/7/2005,1.914902
3/8/2005,1.928603
3/9/2005,1.922707
3/10/2005,1.923817
3/11/2005,1.926411
3/14/2005,1.913802
3/15/2005,1.913217
3/16/2005,1.927302
3/17/2005,1.925187
3/18/2005,1.922818
3/21/2005,1.895986
3/22/2005,1.885583
3/23/2005,1.870592
3/24/2005,1.86839
3/25/2005,1.871713
3/28/2005,1.866298
3/29/2005,1.87561
3/30/2005,1.877405
3/31/2005,1.889502
4/1/2005,1.884091
4/4/2005,1.876313
4/5/2005,1.879911
4/6/2005,1.879487
4/7/2005,1.870697
4/8/2005,1.886401
4/11/2005,1.890288
4/12/2005,1.891217
4/13/2005,1.894298
4/14/2005,1.879487
4/15/2005,1.893186
4/18/2005,1.90429
4/19/2005,1.917215
4/20/2005,1.918392
4/21/2005,1.909016
4/22/2005,1.913985
4/25/2005,1.911607
4/26/2005,1.905706
4/27/2005,1.903493
4/28/2005,1.907814
4/29/2005,1.90949
5/2/2005,1.894801
5/3/2005,1.893688
5/4/2005,1.902117
5/5/2005,1.902515
5/6/2005,1.891611
5/9/2005,1.884801
5/10/2005,1.885903
5/11/2005,1.873501
5/12/2005,1.863516
5/13/2005,1.849694
5/16/2005,1.839013
5/17/2005,1.833987
5/18/2005,1.839588
5/19/2005,1.835502
5/20/2005,1.828889
