DATE,GDP
1/1/2012,159414
2/1/2012,159414
3/1/2012,159414
4/1/2012,159324.6667
5/1/2012,159324.6667
6/1/2012,159324.6667
7/1/2012,161304.3333
8/1/2012,161304.3333
9/1/2012,161304.3333
10/1/2012,161140.6667
11/1/2012,161140.6667
12/1/2012,161140.6667
1/1/2013,161518.3333
2/1/2013,161518.3333
3/1/2013,161518.3333
4/1/2013,162615
5/1/2013,162615
6/1/2013,162615
7/1/2013,163833
8/1/2013,163833
9/1/2013,163833
10/1/2013,164886
11/1/2013,164886
12/1/2013,164886
1/1/2014,166431.3333
2/1/2014,166431.3333
3/1/2014,166431.3333
4/1/2014,167886.3333
5/1/2014,167886.3333
6/1/2014,167886.3333
7/1/2014,169161.6667
8/1/2014,169161.6667
9/1/2014,169161.6667
10/1/2014,170262.3333
11/1/2014,170262.3333
12/1/2014,170262.3333
1/1/2015,170965
2/1/2015,170965
3/1/2015,170965
4/1/2015,172047
5/1/2015,172047
6/1/2015,172047
7/1/2015,172788.3333
8/1/2015,172788.3333
9/1/2015,172788.3333
10/1/2015,174064.6667
11/1/2015,174064.6667
12/1/2015,174064.6667
1/1/2016,174700.6667
2/1/2016,174700.6667
3/1/2016,174700.6667
4/1/2016,175800.3333
5/1/2016,175800.3333
6/1/2016,175800.3333
7/1/2016,176576.6667
8/1/2016,176576.6667
9/1/2016,176576.6667
10/1/2016,177724.3333
11/1/2016,177724.3333
12/1/2016,177724.3333
1/1/2017,179038
2/1/2017,179038
3/1/2017,179038
4/1/2017,179998
5/1/2017,179998
6/1/2017,179998
7/1/2017,180926.6667
8/1/2017,180926.6667
9/1/2017,180926.6667
10/1/2017,182061.6667
11/1/2017,182061.6667
12/1/2017,182061.6667
1/1/2018,182334.3333
2/1/2018,182334.3333
3/1/2018,182334.3333
4/1/2018,183163.6667
5/1/2018,183163.6667
6/1/2018,183163.6667
7/1/2018,184181.6667
8/1/2018,184181.6667
9/1/2018,184181.6667
10/1/2018,184655.3333
11/1/2018,184655.3333
12/1/2018,184655.3333
1/1/2019,185819.3333
2/1/2019,185819.3333
3/1/2019,185819.3333
4/1/2019,186023.6667
5/1/2019,186023.6667
6/1/2019,186023.6667
7/1/2019,187160
8/1/2019,187160
9/1/2019,187160
10/1/2019,187113
11/1/2019,187113
12/1/2019,187113
1/1/2020,182171.6667
2/1/2020,182171.6667
3/1/2020,182171.6667
4/1/2020,143931.3333
5/1/2020,143931.3333
6/1/2020,143931.3333
7/1/2020,167836.3333
8/1/2020,167836.3333
9/1/2020,167836.3333
10/1/2020,169873.6667
11/1/2020,169873.6667
12/1/2020,169873.6667
1/1/2021,167887.6667
2/1/2021,167887.6667
3/1/2021,167887.6667
4/1/2021,178869.3333
5/1/2021,178869.3333
6/1/2021,178869.3333
7/1/2021,182028
8/1/2021,182028
9/1/2021,182028
10/1/2021,184979.3333
11/1/2021,184979.3333
12/1/2021,184979.3333
1/1/2022,186258.6667
2/1/2022,186258.6667
3/1/2022,186258.6667
4/1/2022,186696.3333
5/1/2022,186696.3333
6/1/2022,186696.3333
7/1/2022,186389
8/1/2022,186389
9/1/2022,186389
10/1/2022,186448
11/1/2022,186448
12/1/2022,186448
